Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-0.013,-0.280,9.947,0.244,0.610,0.183
-0.031,-0.292,9.945,0.244,0.610,0.183
-0.001,-0.275,9.940,0.244,0.549,0.183
0.053,-0.290,9.937,0.183,0.549,0.183
0.121,-0.298,9.932,0.183,0.610,0.183
0.099,-0.287,9.934,0.305,0.610,0.183
0.020,-0.278,9.931,0.305,0.610,0.183
0.017,-0.290,9.946,0.366,0.610,0.183
0.015,-0.286,9.947,0.305,0.549,0.244
0.013,-0.273,9.951,0.305,0.610,0.244
0.041,-0.266,9.943,0.183,0.610,0.183
0.057,-0.281,9.936,0.122,0.488,0.122
0.065,-0.283,9.944,0.183,0.488,0.183
0.059,-0.284,9.944,0.183,0.549,0.183
0.051,-0.307,9.935,0.183,0.549,0.122
0.044,-0.288,9.949,0.244,0.610,0.183
0.028,-0.271,9.933,0.244,0.549,0.183
0.039,-0.284,9.942,0.244,0.610,0.122
0.044,-0.287,9.931,0.244,0.549,0.183
0.054,-0.280,9.932,0.244,0.610,0.183
0.070,-0.320,9.929,0.305,0.549,0.183
0.083,-0.277,9.940,0.488,0.610,0.183
0.045,-0.217,9.929,0.366,0.610,0.183
-0.023,-0.252,9.934,0.000,0.549,0.122
-0.025,-0.347,9.948,0.061,0.488,0.183
0.002,-0.290,9.941,0.244,0.549,0.183
0.072,-0.244,9.934,0.244,0.549,0.183
0.145,-0.294,9.941,0.183,0.549,0.122
0.101,-0.286,9.942,0.244,0.610,0.183
0.017,-0.270,9.943,0.305,0.610,0.244
-0.021,-0.281,9.945,0.244,0.610,0.183
-0.026,-0.326,9.943,0.244,0.549,0.183
0.013,-0.278,9.932,0.305,0.610,0.183
0.089,-0.283,9.937,0.244,0.610,0.183
0.141,-0.293,9.944,0.244,0.610,0.183
0.069,-0.274,9.944,0.244,0.610,0.183
-0.010,-0.270,9.941,0.244,0.610,0.183
-0.029,-0.303,9.935,0.244,0.549,0.183
0.005,-0.283,9.944,0.244,0.549,0.122
0.058,-0.272,9.937,0.244,0.549,0.183
0.118,-0.308,9.935,0.183,0.549,0.244
0.105,-0.318,9.935,0.305,0.549,0.183
0.037,-0.271,9.942,0.366,0.610,0.183
