Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-0.011,-1.261,9.343,17.195,-25.305,14.268
-0.450,-1.030,9.643,12.073,-20.915,18.354
-0.141,-1.243,9.689,15.122,-8.963,18.780
0.561,-1.444,9.384,14.329,-0.671,17.622
0.807,-1.383,9.268,8.232,-1.159,14.756
0.784,-1.365,9.422,4.329,-6.463,13.720
1.132,-1.383,9.552,2.073,-4.207,11.402
1.252,-1.427,9.705,-0.244,0.732,8.598
1.183,-1.444,9.905,-3.902,4.146,7.561
1.074,-1.469,9.947,-5.427,10.427,8.171
1.594,-1.459,9.462,-4.268,19.146,12.744
1.863,-1.615,9.511,-7.561,16.402,13.171
1.575,-1.349,9.794,-10.427,10.061,13.415
1.590,-1.379,9.745,-13.354,6.707,12.683
1.411,-1.177,9.760,-13.902,7.744,10.610
1.147,-1.055,9.831,-13.171,8.232,9.146
1.065,-1.186,9.716,-12.988,5.976,9.878
0.973,-1.381,9.443,-14.085,7.378,9.085
0.746,-1.362,9.342,-16.037,10.000,6.402
0.834,-1.305,9.406,-19.512,8.354,5.549
1.112,-1.432,9.546,-22.073,11.341,6.159
1.079,-1.571,9.570,-23.049,20.244,6.402
0.721,-1.363,9.667,-23.415,23.476,5.549
0.740,-1.205,9.901,-21.402,23.232,4.756
0.524,-1.155,9.792,-21.524,22.195,4.207
0.725,-1.269,9.743,-26.707,11.341,5.122
1.322,-1.556,9.953,-25.305,2.988,3.659
1.152,-1.416,10.231,-25.000,0.671,-0.061
1.024,-1.480,10.332,-28.476,-5.549,0.061
1.189,-1.706,10.311,-28.354,-9.756,-1.280
1.031,-1.663,10.405,-26.768,-8.293,-3.902
0.948,-1.248,10.362,-20.305,-4.939,-2.988
1.062,-1.504,10.371,-27.378,-5.427,-0.732
0.970,-1.617,10.418,-25.427,-3.232,-0.671
1.007,-1.487,10.406,-17.927,1.707,-0.488
1.463,-1.669,10.068,-18.598,-0.244,0.549
1.616,-1.790,9.741,-18.841,-7.744,1.768
1.122,-1.487,9.816,-17.927,-12.988,2.073
0.753,-1.334,9.742,-15.061,-19.512,0.854
0.691,-1.413,10.017,-11.037,-25.122,0.000
0.642,-1.244,10.186,-11.341,-20.305,-1.402
1.018,-1.501,10.043,-13.902,-17.866,-2.805
1.137,-1.515,9.849,-9.024,-15.549,-2.866
1.244,-1.617,9.747,-6.707,-15.000,-3.963
1.186,-1.588,10.005,-7.500,-20.061,-6.402
0.719,-1.390,10.585,-8.171,-19.451,-7.866
0.327,-1.379,10.861,-3.841,-6.646,-9.878
0.487,-1.501,10.393,5.427,6.646,-11.220
0.746,-1.642,9.789,7.622,11.098,-10.549
0.674,-1.607,9.525,6.951,11.585,-10.915
0.845,-1.654,9.408,6.159,5.305,-11.280
0.467,-1.511,9.879,1.280,-5.000,-9.634
-0.109,-1.258,10.417,0.610,-11.402,-5.244
0.063,-1.364,10.186,5.244,-8.171,-2.927
0.738,-1.708,9.494,7.561,-0.244,-5.183
0.695,-1.592,9.436,6.890,3.293,-7.927
0.291,-1.390,9.544,6.768,-0.671,-6.402
0.345,-1.398,9.468,6.524,-7.073,-3.171
0.502,-1.627,9.472,5.488,-8.963,-1.524
0.592,-1.437,9.770,6.159,-6.951,-2.073
0.953,-1.359,9.918,6.707,-2.378,-3.537
0.852,-1.340,10.130,9.878,1.098,-5.244
0.778,-1.354,10.277,11.341,1.951,-4.329
0.915,-1.492,9.979,14.024,3.537,-3.720
1.138,-1.623,9.815,14.573,0.183,-3.598
1.417,-1.727,10.154,10.976,-6.341,-5.244
1.082,-1.561,10.845,10.488,-7.683,-8.110
0.336,-1.533,10.924,13.171,-1.951,-7.683
0.419,-1.402,10.262,16.646,7.622,-6.280
1.249,-1.741,9.465,19.878,11.524,-6.768
1.204,-1.533,9.684,15.061,4.329,-7.866
0.641,-1.249,10.308,11.829,-5.244,-6.402
0.460,-1.409,10.135,15.854,-7.439,-3.780
0.473,-1.381,10.078,17.927,-4.146,-3.780
0.662,-1.316,10.271,19.390,-3.110,-3.780
0.874,-1.532,9.884,22.195,-4.695,-2.439
0.680,-1.572,9.448,19.207,-4.634,-3.841
0.358,-1.371,9.631,17.622,-2.988,-4.756
0.107,-1.144,9.865,18.232,4.695,-4.817
0.362,-1.329,9.296,20.244,12.439,-3.415
0.812,-1.611,8.766,19.085,9.573,0.549
0.355,-1.268,9.163,13.780,2.744,3.720
0.060,-1.085,9.719,10.427,-0.488,5.671
0.391,-1.133,9.821,10.000,1.646,6.524
0.681,-1.071,10.135,9.695,7.195,6.768
0.895,-1.187,10.095,12.500,9.756,6.951
0.871,-1.302,9.842,15.976,8.476,7.805
0.723,-1.323,9.741,13.049,2.561,8.110
0.710,-1.197,10.039,7.378,-2.927,7.439
0.811,-1.204,10.012,8.720,-0.061,6.159
1.119,-1.374,9.414,10.305,3.537,4.512
1.352,-1.407,9.404,4.512,2.927,0.915
1.575,-1.164,9.756,1.890,0.976,-1.402
1.533,-1.287,9.921,5.427,2.622,-2.012
1.538,-1.216,10.162,5.061,2.012,-1.280
1.569,-1.289,9.972,7.195,4.817,0.732
